rank,package_name,version,declared_license,root_classification,total_dependencies,is_tainted,conflicting_copyleft_deps_count,conflicts_summary
5480,geekcom/validator-docs,3.12.0,MIT,PERMISSIVE,1,NO,0,
5481,devdojo/app,0.11,Unspecified,PERMISSIVE,0,NO,0,
5482,spryker/category-image,1.5.1,proprietary,PERMISSIVE,31,NO,0,
5483,spryker/file-manager,2.9.0,proprietary,PERMISSIVE,38,NO,0,
5484,spryker/cart-variant,2.1.0,proprietary,PERMISSIVE,38,NO,0,
5485,spryker/product-category-search,1.3.1,proprietary,PERMISSIVE,49,NO,0,
5486,spryker/tax-storage,1.8.0,proprietary,PERMISSIVE,58,NO,0,
5487,spryker/tax-product-storage,1.9.0,proprietary,PERMISSIVE,54,NO,0,
5488,spryker/manual-order-entry-gui-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5489,utopia-php/framework,1.2.5,Unspecified,PERMISSIVE,19,NO,0,
5490,2amigos/yii2-ckeditor-widget,2.2.0,BSD-3-Clause,PERMISSIVE,10,YES,2,ezyang/htmlpurifier (LGPL-2.1-or-later); ckeditor/ckeditor (GPL-2.0+)
5491,spryker/scheduler-jenkins,1.7.0,proprietary,PERMISSIVE,37,NO,0,
5492,spryker/cart-note-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5493,unzerdev/php-sdk,4.0.2,Apache-2.0,PERMISSIVE,0,NO,0,
5494,spryker-shop/customer-page-extension,1.9.0,proprietary,PERMISSIVE,73,NO,0,
5495,spryker/product-attribute-extension,1.2.0,proprietary,PERMISSIVE,0,NO,0,
5496,bear/streamer,1.4.0,MIT,PERMISSIVE,21,NO,0,
5497,spryker/category-exporter,3.0.4,proprietary,PERMISSIVE,31,NO,0,
5498,google/cloud-datastore,v2.3.0,Apache-2.0,PERMISSIVE,19,NO,0,
5499,alisaleem27/nova-morph-to-create-field,v1.0.4,MIT,PERMISSIVE,0,NO,0,
5500,spryker/data-export,0.1.6,proprietary,PERMISSIVE,33,NO,0,
5501,xrstf/composer-php52,v1.0.21,MIT,PERMISSIVE,0,NO,0,
5502,paddlehq/paddle-php-sdk,v1.17.1,Apache-2.0,PERMISSIVE,25,NO,0,
5503,spryker/availability-gui-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5504,laravel-lang/status-generator,2.16.0,MIT,PERMISSIVE,70,NO,0,
5505,spryker/cms-content-widget,1.13.0,proprietary,PERMISSIVE,52,NO,0,
5506,fuel/auth,1.8.2,MIT,PERMISSIVE,1,NO,0,
